Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,330nF,C_0402_1005Metric,103.1915,-41.656,0.0,top
C10,330nF,C_0402_1005Metric,119.198,-51.816,0.0,top
C11,330nF,C_0402_1005Metric,119.198,-61.976,0.0,top
C12,330nF,C_0402_1005Metric,119.198,-72.136,0.0,top
C13,330nF,C_0402_1005Metric,127.198,-41.656,0.0,top
C14,330nF,C_0402_1005Metric,127.198,-51.816,0.0,top
C15,330nF,C_0402_1005Metric,127.198,-61.976,0.0,top
C16,330nF,C_0402_1005Metric,127.198,-72.136,0.0,top
C17,330nF,C_0402_1005Metric,135.198,-41.656,0.0,top
C18,330nF,C_0402_1005Metric,135.198,-51.816,0.0,top
C19,330nF,C_0402_1005Metric,135.198,-61.976,0.0,top
C2,330nF,C_0402_1005Metric,103.1915,-51.816,0.0,top
C20,330nF,C_0402_1005Metric,135.198,-72.136,0.0,top
C21,330nF,C_0402_1005Metric,143.198,-41.656,0.0,top
C22,330nF,C_0402_1005Metric,143.198,-51.816,0.0,top
C23,330nF,C_0402_1005Metric,143.198,-61.976,0.0,top
C24,330nF,C_0402_1005Metric,143.198,-72.136,0.0,top
C25,330nF,C_0402_1005Metric,151.198,-41.656,0.0,top
C26,330nF,C_0402_1005Metric,151.198,-51.816,0.0,top
C27,330nF,C_0402_1005Metric,151.198,-61.976,0.0,top
C28,330nF,C_0402_1005Metric,151.198,-72.136,0.0,top
C29,330nF,C_0402_1005Metric,159.198,-41.656,0.0,top
C3,330nF,C_0402_1005Metric,103.1915,-61.976,0.0,top
C30,330nF,C_0402_1005Metric,159.198,-51.816,0.0,top
C31,330nF,C_0402_1005Metric,159.198,-61.976,0.0,top
C32,330nF,C_0402_1005Metric,159.198,-72.136,0.0,top
C33,330nF,C_0402_1005Metric,94.996,-41.656,0.0,top
C34,330nF,C_0402_1005Metric,94.996,-51.816,0.0,top
C35,330nF,C_0402_1005Metric,94.996,-61.976,0.0,top
C4,330nF,C_0402_1005Metric,103.1915,-72.136,0.0,top
C40,330nF,C_0402_1005Metric,159.258,-94.106,0.0,top
C41,330nF,C_0402_1005Metric,103.258,-94.106,0.0,top
C42,330nF,C_0402_1005Metric,111.258,-94.106,0.0,top
C43,330nF,C_0402_1005Metric,119.258,-94.106,0.0,top
C44,330nF,C_0402_1005Metric,127.258,-94.106,0.0,top
C45,330nF,C_0402_1005Metric,135.258,-94.106,0.0,top
C46,330nF,C_0402_1005Metric,143.258,-94.106,0.0,top
C47,330nF,C_0402_1005Metric,151.258,-94.106,0.0,top
C5,330nF,C_0402_1005Metric,111.198,-41.656,0.0,top
C50,330nF,C_0402_1005Metric,159.258,-104.266,0.0,top
C51,330nF,C_0402_1005Metric,103.258,-104.266,0.0,top
C52,330nF,C_0402_1005Metric,111.258,-104.266,0.0,top
C53,330nF,C_0402_1005Metric,119.258,-104.266,0.0,top
C54,330nF,C_0402_1005Metric,127.258,-104.266,0.0,top
C55,330nF,C_0402_1005Metric,135.258,-104.266,0.0,top
C56,330nF,C_0402_1005Metric,143.258,-104.266,0.0,top
C57,330nF,C_0402_1005Metric,151.258,-104.266,0.0,top
C58,330nF,C_0402_1005Metric,107.0,-104.26,180.0,top
C59,330nF,C_0402_1005Metric,115.0,-104.26,180.0,top
C6,330nF,C_0402_1005Metric,111.198,-51.816,0.0,top
C60,330nF,C_0402_1005Metric,123.0,-104.26,180.0,top
C61,330nF,C_0402_1005Metric,139.0,-104.26,180.0,top
C62,330nF,C_0402_1005Metric,147.0,-104.26,180.0,top
C63,330nF,C_0402_1005Metric,154.9,-104.26,180.0,top
C64,330nF,C_0402_1005Metric,111.0895,-137.301,0.0,top
C65,330nF,C_0402_1005Metric,119.1484,-137.301,0.0,top
C66,330nF,C_0402_1005Metric,127.2073,-137.301,0.0,top
C67,330nF,C_0402_1005Metric,151.384,-137.2834,0.0,top
C68,330nF,C_0402_1005Metric,151.384,-148.7134,0.0,top
C69,330nF,C_0402_1005Metric,143.3251,-137.2834,0.0,top
C7,330nF,C_0402_1005Metric,111.198,-61.976,0.0,top
C70,330nF,C_0402_1005Metric,143.3251,-148.7134,0.0,top
C71,330nF,C_0402_1005Metric,159.4429,-137.2834,0.0,top
C72,330nF,C_0402_1005Metric,135.2662,-148.731,0.0,top
C73,330nF,C_0402_1005Metric,135.2662,-137.301,0.0,top
C77,330nF,C_0402_1005Metric,46.826,-149.987,0.0,top
C78,330nF,C_0402_1005Metric,127.2073,-148.731,0.0,top
C79,330nF,C_0402_1005Metric,119.1484,-148.731,0.0,top
C8,330nF,C_0402_1005Metric,111.198,-72.136,0.0,top
C80,330nF,C_0402_1005Metric,111.0895,-148.731,0.0,top
C81,330nF,C_0402_1005Metric,159.4429,-148.7134,0.0,top
C82,330nF,C_0402_1005Metric,38.927,-139.827,0.0,top
C83,330nF,C_0402_1005Metric,46.674,-139.827,0.0,top
C84,330nF,C_0402_1005Metric,54.421,-139.827,0.0,top
C85,330nF,C_0402_1005Metric,38.927,-149.987,0.0,top
C9,330nF,C_0402_1005Metric,119.198,-41.656,0.0,top
C90,330nF,C_0402_1005Metric,47.023,-34.011,-90.0,top
C91,330nF,C_0402_1005Metric,74.614,-150.241,0.0,top
C92,330nF,C_0402_1005Metric,103.3455,-136.031,0.0,top
C93,330nF,C_0402_1005Metric,66.867,-150.241,0.0,top
C94,330nF,C_0402_1005Metric,66.864,-138.811,0.0,top
C95,330nF,C_0402_1005Metric,74.738,-138.811,0.0,top
D137,LED,LED_0402_1005Metric,58.928,-95.183595,180.0,top
D138,LED,LED_0402_1005Metric,62.484,-95.183595,180.0,top
D139,LED,LED_0402_1005Metric,66.063,-95.183595,180.0,top
D140,LED,LED_0402_1005Metric,69.596,-95.183595,180.0,top
D141,LED,LED_0402_1005Metric,73.152,-95.183595,180.0,top
D142,LED,LED_0402_1005Metric,76.325,-55.257,90.0,top
D143,LED,LED_0402_1005Metric,76.325,-58.813,90.0,top
D144,LED,LED_0402_1005Metric,56.9775,-119.7585,90.0,top
D145,LED,LED_0402_1005Metric,48.686,-67.45,180.0,top
D146,LED,LED_0402_1005Metric,52.242,-67.45,180.0,top
D147,LED,LED_0402_1005Metric,55.798,-67.45,180.0,top
D148,LED,LED_0402_1005Metric,59.354,-67.45,180.0,top
D149,LED,LED_0402_1005Metric,62.91,-67.45,180.0,top
D150,LED,LED_0402_1005Metric,75.677,-112.534,90.0,top
D30,LED,LED_0402_1005Metric,49.149,-40.742,180.0,top
D31,LED,LED_0402_1005Metric,52.705,-40.742,180.0,top
D32,LED,LED_0402_1005Metric,56.261,-40.742,180.0,top
