Designator,Mid X,Mid Y,Rotation,Layer
C1,103.1915,-41.656,0.0,top
C10,119.198,-51.816,0.0,top
C11,119.198,-61.976,0.0,top
C12,119.198,-72.136,0.0,top
C13,127.198,-41.656,0.0,top
C14,127.198,-51.816,0.0,top
C15,127.198,-61.976,0.0,top
C16,127.198,-72.136,0.0,top
C17,135.198,-41.656,0.0,top
C18,135.198,-51.816,0.0,top
C19,135.198,-61.976,0.0,top
C2,103.1915,-51.816,0.0,top
C20,135.198,-72.136,0.0,top
C21,143.198,-41.656,0.0,top
C22,143.198,-51.816,0.0,top
C23,143.198,-61.976,0.0,top
C24,143.198,-72.136,0.0,top
C25,151.198,-41.656,0.0,top
C26,151.198,-51.816,0.0,top
C27,151.198,-61.976,0.0,top
C28,151.198,-72.136,0.0,top
C29,159.198,-41.656,0.0,top
C3,103.1915,-61.976,0.0,top
C30,159.198,-51.816,0.0,top
C31,159.198,-61.976,0.0,top
C32,159.198,-72.136,0.0,top
C33,94.996,-41.656,0.0,top
C34,94.996,-51.816,0.0,top
C35,94.996,-61.976,0.0,top
C4,103.1915,-72.136,0.0,top
C40,159.258,-94.106,0.0,top
C41,103.258,-94.106,0.0,top
C42,111.258,-94.106,0.0,top
C43,119.258,-94.106,0.0,top
C44,127.258,-94.106,0.0,top
C45,135.258,-94.106,0.0,top
C46,143.258,-94.106,0.0,top
C47,151.258,-94.106,0.0,top
C5,111.198,-41.656,0.0,top
C50,159.258,-104.266,0.0,top
C51,103.258,-104.266,0.0,top
C52,111.258,-104.266,0.0,top
C53,119.258,-104.266,0.0,top
C54,127.258,-104.266,0.0,top
C55,135.258,-104.266,0.0,top
C56,143.258,-104.266,0.0,top
C57,151.258,-104.266,0.0,top
C58,107.0,-104.26,180.0,top
C59,115.0,-104.26,180.0,top
C6,111.198,-51.816,0.0,top
C60,123.0,-104.26,180.0,top
C61,139.0,-104.26,180.0,top
C62,147.0,-104.26,180.0,top
C63,154.9,-104.26,180.0,top
C64,111.0895,-137.301,0.0,top
C65,119.1484,-137.301,0.0,top
C66,127.2073,-137.301,0.0,top
C67,151.384,-137.2834,0.0,top
C68,151.384,-148.7134,0.0,top
C69,143.3251,-137.2834,0.0,top
C7,111.198,-61.976,0.0,top
C70,143.3251,-148.7134,0.0,top
C71,159.4429,-137.2834,0.0,top
C72,135.2662,-148.731,0.0,top
C73,135.2662,-137.301,0.0,top
C77,46.826,-149.987,0.0,top
C78,127.2073,-148.731,0.0,top
C79,119.1484,-148.731,0.0,top
C8,111.198,-72.136,0.0,top
C80,111.0895,-148.731,0.0,top
C81,159.4429,-148.7134,0.0,top
C82,38.927,-139.827,0.0,top
C83,46.674,-139.827,0.0,top
C84,54.421,-139.827,0.0,top
C85,38.927,-149.987,0.0,top
C9,119.198,-41.656,0.0,top
C90,47.023,-34.011,270.0,top
C91,74.614,-150.241,0.0,top
C92,103.3455,-136.031,0.0,top
C93,66.867,-150.241,0.0,top
C94,66.864,-138.811,0.0,top
C95,74.738,-138.811,0.0,top
D137,58.928,-95.183595,180.0,top
D138,62.484,-95.183595,180.0,top
D139,66.063,-95.183595,180.0,top
D140,69.596,-95.183595,180.0,top
D141,73.152,-95.183595,180.0,top
D142,76.325,-55.257,90.0,top
D143,76.325,-58.813,90.0,top
D144,56.9775,-119.7585,90.0,top
D145,48.686,-67.45,180.0,top
D146,52.242,-67.45,180.0,top
D147,55.798,-67.45,180.0,top
D148,59.354,-67.45,180.0,top
