Designator,Mid X,Mid Y,Rotation,Layer
C1,125.312716,-83.82,0.0,top
C10,143.702,-96.52,0.0,top
C11,143.702,-109.22,0.0,top
C12,143.702,-121.92,0.0,top
C13,152.896642,-83.82,0.0,top
C14,152.896642,-96.52,0.0,top
C15,152.896642,-109.22,0.0,top
C16,152.896642,-121.92,0.0,top
C17,162.091284,-83.82,0.0,top
C18,162.091284,-96.52,0.0,top
C19,162.091284,-109.22,0.0,top
C2,125.312716,-96.52,0.0,top
C20,162.091284,-121.92,0.0,top
C21,171.285926,-83.82,0.0,top
C22,171.285926,-96.52,0.0,top
C23,171.285926,-109.22,0.0,top
C24,171.285926,-121.92,0.0,top
C25,180.480568,-83.82,0.0,top
C26,180.480568,-96.52,0.0,top
C27,180.480568,-109.22,0.0,top
C28,180.480568,-121.92,0.0,top
C29,189.675216,-83.82,0.0,top
C3,125.312716,-109.22,0.0,top
C30,189.675216,-96.52,0.0,top
C31,189.675216,-109.22,0.0,top
C32,189.675216,-121.92,0.0,top
C33,116.078,-96.52,0.0,top
C34,116.078,-109.22,0.0,top
C35,116.078,-121.92,0.0,top
C36,118.244,-82.79,90.0,top
C37,114.942,-82.804,90.0,top
C38,116.586,-82.804,90.0,top
C4,125.312716,-121.92,0.0,top
C5,134.507358,-83.82,0.0,top
C6,134.507358,-96.52,0.0,top
C7,134.507358,-109.22,0.0,top
C8,134.507358,-121.92,0.0,top
C9,143.702,-83.82,0.0,top
D1,164.082287,-131.366,180.0,top
D10,122.980574,-66.052,180.0,top
D11,126.609145,-66.052,180.0,top
D12,130.237716,-66.052,180.0,top
D13,133.866287,-66.052,180.0,top
D14,137.494858,-66.052,180.0,top
D15,141.123429,-66.052,180.0,top
D16,144.752003,-66.052,180.0,top
D17,163.896003,-66.052,180.0,top
D18,167.524574,-66.052,180.0,top
D19,171.153145,-66.052,180.0,top
D2,167.712042,-131.366,180.0,top
D20,174.781716,-66.052,180.0,top
D21,178.410287,-66.052,180.0,top
D22,182.038858,-66.052,180.0,top
D23,185.667429,-66.052,180.0,top
D24,189.296003,-66.052,180.0,top
D25,128.23625,-131.366,180.0,top
D26,116.272571,-131.366,180.0,top
D27,140.199929,-131.366,180.0,top
D28,152.163608,-131.366,180.0,top
D29,104.521,-131.445,180.0,top
D3,171.341797,-131.366,180.0,top
D4,174.971552,-131.366,180.0,top
D5,178.601307,-131.366,180.0,top
D6,182.231062,-131.366,180.0,top
D7,185.860817,-131.366,180.0,top
D8,189.490574,-131.366,180.0,top
D9,119.352003,-66.052,180.0,top
J1,101.919,-96.901,180.0,top
