Designator,Mid X,Mid Y,Rotation,Layer
C1,71.882,-80.01,0.0,top
C10,90.24257,-92.71,0.0,top
C11,90.24257,-105.41,0.0,top
C12,90.24257,-118.11,0.0,top
C13,99.422855,-80.01,0.0,top
C14,99.422855,-92.71,0.0,top
C15,99.422855,-105.41,0.0,top
C16,99.422855,-118.11,0.0,top
C17,108.60314,-80.01,0.0,top
C18,108.60314,-92.71,0.0,top
C19,108.60314,-105.41,0.0,top
C2,71.882,-92.71,0.0,top
C20,108.60314,-118.11,0.0,top
C21,117.783425,-80.01,0.0,top
C22,117.783425,-92.71,0.0,top
C23,117.783425,-105.41,0.0,top
C24,117.783425,-118.11,0.0,top
C25,126.96371,-80.01,0.0,top
C26,126.96371,-92.71,0.0,top
C27,126.96371,-105.41,0.0,top
C28,126.96371,-118.11,0.0,top
C29,136.144,-80.01,0.0,top
C3,71.882,-105.41,0.0,top
C30,136.144,-92.71,0.0,top
C31,136.144,-105.41,0.0,top
C32,136.144,-118.11,0.0,top
C33,62.604713,-80.01,0.0,top
C34,62.604713,-92.71,0.0,top
C35,62.604713,-105.41,0.0,top
C36,55.626,-80.772,0.0,top
C37,55.626,-82.423,0.0,top
C38,55.626,-84.074,0.0,top
C4,71.882,-118.11,0.0,top
C5,81.062285,-80.01,0.0,top
C6,81.062285,-92.71,0.0,top
C7,81.062285,-105.41,0.0,top
C8,81.062285,-118.11,0.0,top
C9,90.24257,-80.01,0.0,top
D1,66.259,-61.849,180.0,top
D10,108.601,-61.849,180.0,top
D11,112.23,-61.849,180.0,top
D12,115.859,-61.849,180.0,top
D13,119.488,-61.849,180.0,top
D14,123.117,-61.849,180.0,top
D15,126.746,-61.849,180.0,top
D16,130.375,-61.849,180.0,top
D17,66.221,-143.002,180.0,top
D18,69.85,-143.002,180.0,top
D19,105.026,-143.002,180.0,top
D2,69.888,-61.849,180.0,top
D20,108.655,-143.002,180.0,top
D21,112.284,-143.002,180.0,top
D22,115.913,-143.002,180.0,top
D23,119.542,-143.002,180.0,top
D24,123.171,-143.002,180.0,top
D25,126.8,-143.002,180.0,top
D26,130.429,-143.002,180.0,top
D27,82.023,-143.002,180.0,top
D28,85.652,-143.002,180.0,top
D29,89.281,-143.002,180.0,top
D3,73.517,-61.849,180.0,top
D30,92.91,-143.002,180.0,top
D4,77.146,-61.849,180.0,top
D5,80.775,-61.849,180.0,top
D6,84.404,-61.849,180.0,top
D63,52.451,-143.002,180.0,top
D7,88.033,-61.849,180.0,top
D8,91.662,-61.849,180.0,top
D9,104.972,-61.849,180.0,top
Q1,66.259,-58.293,270.0,top
Q10,108.601,-58.293,270.0,top
Q11,112.23,-58.293,270.0,top
Q12,115.859,-58.293,270.0,top
Q13,119.488,-58.293,270.0,top
Q14,123.117,-58.293,270.0,top
Q15,126.746,-58.293,270.0,top
Q16,130.375,-58.293,270.0,top
Q17,66.221,-139.446,270.0,top
Q18,69.85,-139.446,270.0,top
Q19,105.026,-139.446,270.0,top
Q2,69.888,-58.293,270.0,top
Q20,108.655,-139.446,270.0,top
Q21,112.284,-139.446,270.0,top
Q22,115.913,-139.446,270.0,top
Q23,119.542,-139.446,270.0,top
Q24,123.171,-139.446,270.0,top
Q25,126.8,-139.446,270.0,top
Q26,130.429,-139.446,270.0,top
Q27,82.023,-139.446,270.0,top
Q28,85.652,-139.446,270.0,top
