Designator,Mid X,Mid Y,Rotation,Layer
C1,182.85,-216.075,90.0,top
C10,182.86,-267.753574,90.0,top
C11,182.86,-259.325,90.0,top
C12,182.85,-190.789287,90.0,top
C13,182.85,-182.360716,90.0,top
C14,182.85,-173.932145,90.0,top
C15,182.85,-157.075,90.0,top
C16,182.85,-165.503574,90.0,top
C17,173.7,-241.7,270.0,top
C18,182.77,-66.075,270.0,top
C19,184.7,-250.2,270.0,top
C2,182.85,-207.646429,90.0,top
C20,173.7,-250.1,270.0,top
C21,184.7,-241.7,270.0,top
C3,182.85,-199.217858,90.0,top
C4,182.86,-318.325,90.0,top
C5,182.86,-309.896429,90.0,top
C6,182.86,-301.467858,90.0,top
C7,182.86,-293.039287,90.0,top
C8,182.86,-284.610716,90.0,top
C9,182.86,-276.182145,90.0,top
D10,191.73571,-133.3,0.0,top
D11,187.73571,-133.3,0.0,top
D12,195.61071,-133.3,0.0,top
D13,174.757142,-143.5,0.0,top
D14,178.314284,-143.5,0.0,top
D15,181.871426,-143.5,0.0,top
D16,185.428568,-143.5,0.0,top
D17,188.98571,-143.5,0.0,top
D18,192.542852,-143.5,0.0,top
D19,196.099994,-143.5,0.0,top
D20,199.657142,-143.5,0.0,top
D9,199.61071,-133.3,0.0,top
Q1,180.25,-222.0375,90.0,top
Q10,178.242858,-148.3,270.0,top
Q11,181.8,-148.3,270.0,top
Q12,185.357142,-148.3,270.0,top
Q13,188.914284,-148.3,270.0,top
Q14,192.471426,-148.3,270.0,top
Q15,196.028568,-148.3,270.0,top
Q16,199.58571,-148.3,270.0,top
Q2,176.75,-222.0375,90.0,top
Q3,199.58571,-138.1375,270.0,top
Q4,191.61071,-138.1375,270.0,top
Q5,187.61071,-138.1375,270.0,top
Q6,195.61071,-138.1375,270.0,top
Q7,180.26,-324.2875,90.0,top
Q8,176.66,-324.2875,90.0,top
Q9,174.685716,-148.3,270.0,top
R1,173.7,-221.9,270.0,top
R10,180.21,-327.15,0.0,top
R11,176.6225,-327.15,0.0,top
R12,174.757142,-145.1,0.0,top
R13,178.314284,-145.1,0.0,top
R14,181.871426,-145.1,0.0,top
R15,185.428568,-145.1,0.0,top
R16,188.98571,-145.1,0.0,top
R17,192.542852,-145.1,0.0,top
R18,196.099994,-145.1,0.0,top
R19,199.657142,-145.1,0.0,top
R2,180.2,-224.9,0.0,top
R3,176.7,-224.9,0.0,top
R4,195.3,-231.6,90.0,top
R5,199.61071,-134.9,0.0,top
R6,191.71071,-134.9,0.0,top
R7,187.71071,-134.9,0.0,top
R8,195.62321,-134.9,0.0,top
R9,173.71,-324.15,270.0,top
U1,177.39,-216.125,180.0,top
U10,177.39,-207.7,180.0,top
U11,177.39,-199.275,180.0,top
U12,177.39,-190.85,180.0,top
U13,177.39,-182.425,180.0,top
U14,177.39,-174.0,180.0,top
U15,177.39,-165.575,180.0,top
U16,177.39,-157.15,180.0,top
U17,177.4,-293.1,180.0,top
U18,177.4,-284.675,180.0,top
U19,177.4,-276.25,180.0,top
U2,190.2,-250.05,0.0,top
U20,177.4,-267.825,180.0,top
U21,177.4,-259.4,180.0,top
U3,190.2,-241.6,0.0,top
U4,179.1,-250.05,0.0,top
U5,179.1,-241.6,0.0,top
U6,188.27,-66.075,0.0,top
U7,177.4,-318.375,180.0,top
U8,177.4,-309.95,180.0,top
U9,177.4,-301.525,180.0,top
