Designator,Mid X,Mid Y,Rotation,Layer
C1,86.9095,-130.477,0.0,top
C10,159.939713,-64.4725,0.0,top
C11,169.105645,-64.4725,0.0,top
C12,87.3,-82.1,270.0,top
C14,105.030785,-130.3945,0.0,top
C15,114.17857,-130.3945,0.0,top
C16,123.326355,-130.3945,0.0,top
C17,132.47414,-130.3945,0.0,top
C18,141.621925,-130.3945,0.0,top
C19,150.76971,-130.3945,0.0,top
C2,90.31,-82.1,270.0,top
C20,159.917495,-130.3945,0.0,top
C21,169.065285,-130.3945,0.0,top
C24,105.030785,-119.3945,0.0,top
C25,114.17857,-119.3945,0.0,top
C26,123.326355,-119.3945,0.0,top
C27,132.47414,-119.3945,0.0,top
C28,141.621925,-119.3945,0.0,top
C29,150.76971,-119.3945,0.0,top
C3,88.8,-82.1,270.0,top
C30,159.917495,-119.3945,0.0,top
C31,169.065285,-119.3945,0.0,top
C34,105.030785,-108.3945,0.0,top
C35,114.17857,-108.3945,0.0,top
C36,123.326355,-108.3945,0.0,top
C37,132.47414,-108.3945,0.0,top
C38,141.621925,-108.3945,0.0,top
C39,150.76971,-108.3945,0.0,top
C4,104.944145,-64.4725,0.0,top
C40,159.917495,-108.3945,0.0,top
C41,169.065285,-108.3945,0.0,top
C44,105.030785,-97.3945,0.0,top
C45,114.17857,-97.3945,0.0,top
C46,123.326355,-97.3945,0.0,top
C47,132.47414,-97.3945,0.0,top
C48,141.621925,-97.3945,0.0,top
C49,150.76971,-97.3945,0.0,top
C5,114.110073,-64.4725,0.0,top
C50,159.917495,-97.3945,0.0,top
C51,169.065285,-97.3945,0.0,top
C54,105.030785,-86.3945,0.0,top
C55,114.17857,-86.3945,0.0,top
C56,123.326355,-86.3945,0.0,top
C57,132.47414,-86.3945,0.0,top
C58,141.621925,-86.3945,0.0,top
C59,150.76971,-86.3945,0.0,top
C6,123.276001,-64.4725,0.0,top
C60,159.917495,-86.3945,0.0,top
C61,169.065285,-86.3945,0.0,top
C64,105.030785,-75.3945,0.0,top
C65,114.17857,-75.3945,0.0,top
C66,123.326355,-75.3945,0.0,top
C67,132.47414,-75.3945,0.0,top
C68,141.621925,-75.3945,0.0,top
C69,150.76971,-75.3945,0.0,top
