Designator,Mid X,Mid Y,Rotation,Layer
C1,287.3,-469.7,90.0,top
C100,286.3,-449.8,180.0,top
C101,295.8,-449.8,0.0,top
C102,282.8,-457.8,90.0,top
C103,286.8,-468.2,0.0,top
C104,258.0,-452.7,0.0,top
C105,257.9,-444.4,0.0,top
C106,233.695,-432.675,270.0,top
C107,400.9,-330.2,270.0,top
C108,396.0,-410.8,90.0,top
C109,396.0,-400.7,90.0,top
C11,288.3,-449.8,180.0,top
C110,396.0,-390.6,90.0,top
C111,396.0,-420.9,90.0,top
C12,299.3,-299.4,180.0,top
C13,291.5,-299.4,180.0,top
C14,291.5,-379.6,180.0,top
C15,291.5,-371.3,180.0,top
C16,299.3,-415.4,180.0,top
C17,299.3,-407.2,180.0,top
C18,268.8,-342.5,180.0,top
C19,268.8,-353.7,180.0,top
C2,292.7,-469.6,270.0,top
C20,268.8,-306.5,180.0,top
C21,268.8,-282.8,180.0,top
C22,268.8,-271.7,180.0,top
C23,306.3,-265.4,0.0,top
C24,268.78,-377.3,180.0,top
C25,268.8,-366.1,180.0,top
C27,299.3,-307.6,180.0,top
C28,291.5,-307.6,180.0,top
C29,299.3,-379.6,180.0,top
C3,245.6,-449.575,0.0,top
C30,299.3,-371.3,180.0,top
C31,291.4,-407.2,180.0,top
C32,291.5,-415.4,180.0,top
C33,268.8,-295.3,180.0,top
C34,314.3,-265.4,0.0,top
C35,298.375,-265.395,0.0,top
C36,290.275,-265.465,0.0,top
C37,268.8,-400.9,180.0,top
C38,268.9,-389.7,180.0,top
C39,268.8,-330.1,180.0,top
C4,401.85,-452.2,0.0,top
C40,268.8,-318.9,180.0,top
C42,397.5,-348.3,90.0,top
C43,397.5,-340.1,90.0,top
C44,373.725,-271.275,0.0,top
C45,382.225,-271.275,0.0,top
C46,390.625,-271.275,0.0,top
C47,399.025,-271.275,0.0,top
C48,397.5,-314.5,90.0,top
C49,397.5,-322.9,90.0,top
C5,326.85,-452.2,0.0,top
C50,319.1,-462.8,180.0,top
C51,223.2,-289.7,90.0,top
C52,223.1,-407.7,90.0,top
C53,223.0,-266.0,90.0,top
C54,223.1,-384.1,90.0,top
C55,223.1,-360.6,90.0,top
C56,223.1,-336.9,90.0,top
C57,223.2,-313.3,90.0,top
C58,234.3,-444.4,270.0,top
C59,386.775,-387.8,0.0,top
C6,341.85,-452.2,0.0,top
C60,382.775,-407.5,180.0,top
C61,378.775,-387.8,0.0,top
C62,374.775,-407.5,180.0,top
C63,370.775,-387.8,0.0,top
C64,366.775,-407.5,180.0,top
C65,362.775,-387.8,0.0,top
C66,358.775,-407.5,180.0,top
C67,354.775,-387.8,0.0,top
C68,350.775,-407.5,180.0,top
C69,346.775,-387.8,0.0,top
C7,356.85,-452.2,0.0,top
C70,342.775,-407.5,180.0,top
C71,338.775,-387.8,0.0,top
C72,334.775,-407.5,180.0,top
C73,330.775,-387.8,0.0,top
C74,326.775,-407.5,180.0,top
C75,386.775,-407.5,0.0,top
C76,382.775,-427.2,180.0,top
C77,378.775,-407.5,0.0,top
C78,374.775,-427.2,180.0,top
C79,370.775,-407.5,0.0,top
C8,371.85,-452.2,0.0,top
C80,366.775,-427.2,180.0,top
C81,362.775,-407.5,0.0,top
C82,358.775,-427.2,180.0,top
C83,354.775,-407.5,0.0,top
C84,350.775,-427.2,180.0,top
C85,346.775,-407.5,0.0,top
C86,342.775,-427.2,180.0,top
C87,338.775,-407.5,0.0,top
C88,334.775,-427.2,180.0,top
C89,330.775,-407.5,0.0,top
C9,386.85,-452.2,0.0,top
C90,326.775,-427.2,180.0,top
C91,397.3,-382.2,90.0,top
C92,397.3,-373.7,90.0,top
C93,330.4,-437.2,0.0,top
C94,338.58,-437.2,0.0,top
C95,246.38,-438.1,90.0,top
C96,246.38,-446.6,90.0,top
C99,301.2,-459.8,270.0,top
D1,236.485,-429.65,270.0,top
D100,358.7,-291.8175,180.0,top
D101,355.2,-291.8175,180.0,top
D102,351.7,-291.8175,180.0,top
D103,348.2,-291.8175,180.0,top
D104,344.7,-291.8175,180.0,top
D105,341.2,-291.8175,180.0,top
D106,337.7,-291.8175,180.0,top
D107,334.2,-291.8175,180.0,top
D108,330.7,-291.8175,180.0,top
D109,327.2,-291.8175,180.0,top
D110,323.7,-291.8175,180.0,top
D111,320.2,-291.8175,180.0,top
D112,316.7,-291.8175,180.0,top
D113,313.2,-291.8175,180.0,top
D2,236.5,-433.21,270.0,top
D3,273.02,-436.8675,270.0,top
D30,365.65,-337.45,180.0,top
D31,362.15,-337.45,180.0,top
D32,358.65,-337.45,180.0,top
D33,355.15,-337.45,180.0,top
D34,351.65,-337.45,180.0,top
D35,348.15,-337.45,180.0,top
D36,344.65,-337.45,180.0,top
D37,341.15,-337.45,180.0,top
D38,337.65,-337.45,180.0,top
D39,334.15,-337.45,180.0,top
D4,240.7,-457.9,270.0,top
D40,330.65,-337.45,180.0,top
D41,327.15,-337.45,180.0,top
D42,323.65,-337.45,180.0,top
D43,320.15,-337.45,180.0,top
D44,316.65,-337.45,180.0,top
D45,313.15,-337.45,180.0,top
D46,365.65,-314.455,180.0,top
D47,362.15,-314.455,180.0,top
D48,358.65,-314.455,180.0,top
D49,355.15,-314.455,180.0,top
D5,273.1,-440.3675,270.0,top
D50,351.65,-314.455,180.0,top
D51,348.15,-314.455,180.0,top
D52,344.65,-314.455,180.0,top
D53,341.15,-314.455,180.0,top
D54,337.65,-314.455,180.0,top
D55,334.15,-314.455,180.0,top
D56,330.65,-314.455,180.0,top
D57,327.15,-314.455,180.0,top
D58,323.65,-314.455,180.0,top
D59,320.15,-314.455,180.0,top
D6,237.95,-470.75,180.0,top
D60,316.65,-314.455,180.0,top
D61,313.15,-314.455,180.0,top
D62,362.604,-378.496,90.0,top
D63,362.604,-374.996,90.0,top
D64,362.604,-371.496,90.0,top
D65,362.604,-367.996,90.0,top
D66,362.604,-364.496,90.0,top
D67,362.604,-360.996,90.0,top
D68,362.604,-357.496,90.0,top
D69,325.74125,-378.5,90.0,top
D7,240.7,-454.4,270.0,top
D70,325.74125,-375.0,90.0,top
D71,325.74125,-371.5,90.0,top
D72,325.74125,-368.0,90.0,top
D73,325.74125,-364.5,90.0,top
D74,325.74125,-361.0,90.0,top
D75,325.74125,-357.5,90.0,top
D76,395.1,-436.70375,180.0,top
D77,391.6,-436.70375,180.0,top
D78,388.1,-436.70375,180.0,top
D79,384.6,-436.70375,180.0,top
D80,381.1,-436.70375,180.0,top
D81,377.6,-436.70375,180.0,top
D82,374.1,-436.70375,180.0,top
D83,370.6,-436.70375,180.0,top
D84,367.1,-436.70375,180.0,top
D85,363.6,-436.70375,180.0,top
D86,360.1,-436.70375,180.0,top
D87,356.6,-436.70375,180.0,top
D88,353.1,-436.70375,180.0,top
D89,349.6,-436.70375,180.0,top
D90,346.1,-436.70375,180.0,top
D91,342.6,-436.70375,180.0,top
D92,396.65,-365.6,270.0,top
D93,299.10375,-429.85,270.0,top
D94,299.10375,-433.35,270.0,top
D95,299.10375,-436.85,270.0,top
D96,299.10375,-440.35,270.0,top
D98,365.7,-291.8175,180.0,top
D99,362.2,-291.8175,180.0,top
Q129,365.65,-341.845,270.0,top
Q130,365.65,-345.75,90.0,top
Q131,362.15,-341.845,270.0,top
Q132,362.15,-345.75,90.0,top
Q133,358.65,-341.845,270.0,top
Q134,358.65,-345.75,90.0,top
Q135,355.15,-341.845,270.0,top
Q136,355.15,-345.75,90.0,top
