Designator,Mid X,Mid Y,Rotation,Layer
C1,153.450716,-97.155,0.0,top
C10,144.179716,-84.709,0.0,top
C11,116.366716,-97.155,0.0,top
C12,153.320716,-109.655,0.0,top
C13,134.908716,-84.709,0.0,top
C14,125.637716,-97.155,0.0,top
C15,97.821716,-109.655,0.0,top
C16,153.450716,-84.709,0.0,top
C17,134.908716,-97.155,0.0,top
C18,144.049716,-109.655,0.0,top
C19,107.095716,-84.709,0.0,top
C2,107.092716,-109.655,0.0,top
C20,107.095716,-97.155,0.0,top
C21,162.591716,-109.655,0.0,top
C22,162.721716,-84.709,0.0,top
C23,97.824716,-97.155,0.0,top
C24,125.634716,-109.655,0.0,top
C25,83.112716,-113.891,0.0,top
C3,97.824716,-84.709,0.0,top
C4,116.366716,-84.709,0.0,top
C5,144.179716,-97.155,0.0,top
C6,134.905716,-109.655,0.0,top
C7,125.637716,-84.709,0.0,top
C8,162.721716,-97.155,0.0,top
C9,116.363716,-109.655,0.0,top
D1,84.128716,-76.454,270.0,top
D10,155.139858,-116.84,180.0,top
D11,164.392716,-116.84,180.0,top
D12,84.128716,-96.52,270.0,top
D2,84.128716,-83.058,270.0,top
D3,84.128716,-89.662,270.0,top
D4,99.622716,-116.84,180.0,top
D5,108.875573,-116.84,180.0,top
D6,118.12843,-116.84,180.0,top
D7,127.381287,-116.84,180.0,top
D8,136.634144,-116.84,180.0,top
D9,145.887001,-116.84,180.0,top
Q1,90.248716,-109.093,180.0,top
Q10,164.416716,-113.284,180.0,top
Q11,80.572716,-76.43,270.0,top
Q12,90.248716,-102.108,180.0,top
Q13,80.572716,-83.034,270.0,top
Q14,80.572716,-89.638,270.0,top
Q2,90.248716,-116.078,180.0,top
Q3,99.646716,-113.284,180.0,top
Q4,108.899573,-113.284,180.0,top
Q5,118.15243,-113.284,180.0,top
Q6,127.405287,-113.284,180.0,top
Q7,136.658144,-113.284,180.0,top
Q8,145.911001,-113.284,180.0,top
Q9,155.163858,-113.284,180.0,top
R1,90.198716,-105.664,0.0,top
R10,155.143568,-119.634,180.0,top
R11,164.392716,-119.634,180.0,top
R12,86.922716,-96.52,270.0,top
R13,86.922716,-76.454,270.0,top
R14,86.922716,-83.058,270.0,top
R15,86.922716,-89.688,270.0,top
R2,90.198716,-112.649,0.0,top
R3,90.198716,-119.634,0.0,top
R4,99.648716,-119.634,180.0,top
R5,108.897858,-119.634,180.0,top
R6,118.147,-119.634,180.0,top
R7,127.396142,-119.634,180.0,top
R8,136.645284,-119.634,180.0,top
R9,145.894426,-119.634,180.0,top
U1,97.824716,-78.486,90.0,top
U10,125.549142,-103.378,90.0,top
U11,125.611142,-78.486,90.0,top
U12,125.609858,-90.932,90.0,top
U13,134.811284,-103.378,90.0,top
U14,134.873284,-78.486,90.0,top
U15,134.871572,-90.932,90.0,top
U16,82.923716,-107.696,90.0,top
U17,144.073426,-103.378,90.0,top
U18,144.135426,-78.486,90.0,top
U19,144.133286,-90.932,90.0,top
U2,97.824716,-90.932,90.0,top
U20,153.335568,-103.378,90.0,top
U21,153.397568,-78.486,90.0,top
U22,153.395,-90.932,90.0,top
U23,162.597716,-103.378,90.0,top
U24,162.659716,-78.486,90.0,top
U25,162.656716,-90.932,90.0,top
U3,97.762716,-103.378,90.0,top
U4,107.024858,-103.378,90.0,top
U5,107.086858,-78.486,90.0,top
U6,107.08643,-90.932,90.0,top
U7,116.287,-103.378,90.0,top
U8,116.349,-78.486,90.0,top
U9,116.348144,-90.932,90.0,top
