Designator,Footprint,Quantity,Value,LCSC Part #
"C11, C12, C14, C15, C17, C18, C2, C20, C21, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C5, C6, C8, C9",0402,28,330nF,
"D141, D142, D143, D144, D145, D146, D147, D148, D149, D150, D151, D152, D153, D154, D155, D156, D157, D158, D159, D160, D161, D162, D163, D164, D165, D166, D167, D168, D169, D170, D171, D172, D173, D174, D175, D176, D177, D178, D179, D180, D181, D182, D183, D184, D185, D186, D187, D188, D189, D190, D191, D192, D193, D194, D195, D196, D197, D198, D199, D200, D201, D202",0402,62,LED,C965793
"Q109, Q111, Q113, Q115, Q117, Q119, Q121, Q123, Q125, Q127, Q129, Q131, Q133, Q135, Q137, Q139, Q141, Q143, Q145, Q147, Q149, Q151, Q153, Q155, Q157, Q159, Q161, Q163, Q165, Q167, Q169, Q171, Q173, Q175, Q177, Q179, Q181, Q183, Q185, Q187, Q189, Q191, Q193, Q195, Q197, Q199, Q201, Q203, Q205, Q207, Q209, Q211, Q213, Q215, Q217, Q219, Q221, Q223, Q225, Q227, Q229",SOT-23,61,IRLML6244,C5123965
"Q110, Q112, Q114, Q116, Q118, Q120, Q122, Q124, Q126, Q128, Q130, Q132, Q134, Q136, Q138, Q140, Q142, Q144, Q146, Q148, Q150, Q152, Q154, Q156, Q158, Q160, Q162, Q164, Q166, Q168, Q170, Q172, Q174, Q176, Q178, Q180, Q182, Q184, Q186, Q188, Q190, Q192, Q194, Q196, Q198, Q200, Q202, Q204, Q206, Q208, Q210, Q212, Q214, Q216, Q218, Q220, Q222, Q224, Q226, Q228, Q230",SOT-23,61,IRLML6402,C2886430
"R1, R10, R11, R12, R13, R14, R15, R16, R2, R3, R4, R5, R6, R7, R8, R9",0402,16,100K,
"R122, R123, R124, R125, R126, R127, R128, R129, R130, R131, R132, R133, R134, R135, R136, R137, R138, R139, R140, R141, R142, R143, R144, R145, R146, R147, R148, R149, R150, R151, R152, R153, R154, R155, R156, R157, R158, R159, R160, R161, R162, R163, R164, R165, R166, R167, R168, R169, R170, R171, R172, R173, R174, R175, R176, R177, R178, R179, R180, R181, R182, R183, R184, R185, R186, R187, R188, R189, R190, R191, R192, R193, R194, R195, R196, R197, R198, R199, R200, R201, R202, R203, R204, R205, R206, R207, R208, R209, R210, R211, R212, R213, R214, R215, R216, R217, R218, R219, R220, R221, R222, R223, R224, R225, R226, R227, R228, R229, R230, R231, R232, R233, R234, R235, R236, R237, R238, R239, R240, R241, R242, R243, R244",0402,123,1000,C106235
"R21, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R41, R45, R46, R47, R48, R49, R50, R51, R52",0402,29,100K,C60490
"U1, U10, U11, U12, U13, U14, U15, U16, U17, U3, U4, U5, U6, U7, U8, U9",TSSOP-20_4.4x6.5mm_P0.65mm,16,74HC245,
"U18, U2",SOIC-16_3.9x9.9mm_P1.27mm,2,74HC138,
"U19, U21, U22, U23, U24, U25, U26",SOIC-14_3.9x8.7mm_P1.27mm,7,74HC00,
U20,SOIC-16_3.9x9.9mm_P1.27mm,1,74HC238,
"U89, U90",SOIC-16_3.9x9.9mm_P1.27mm,2,74LS157,C6823
