Designator,Mid X,Mid Y,Rotation,Layer
C11,349.063,-149.125,90.0,top
C12,357.191,-149.153,90.0,top
C14,298.063,-149.125,90.0,top
C15,306.191,-149.153,90.0,top
C17,247.063,-149.125,90.0,top
C18,255.191,-149.153,90.0,top
C2,144.272,-183.261,90.0,top
C20,196.063,-149.125,90.0,top
C21,204.191,-149.153,90.0,top
C23,145.063,-149.125,90.0,top
C24,153.191,-149.153,90.0,top
C25,132.588,-183.261,90.0,top
C26,442.935,-149.125,90.0,top
C27,391.935,-149.125,90.0,top
C28,340.935,-149.125,90.0,top
C29,289.935,-149.125,90.0,top
C3,155.956,-183.261,90.0,top
C30,238.935,-149.125,90.0,top
C31,187.935,-149.125,90.0,top
C32,136.935,-149.125,90.0,top
C33,255.27,-166.116,180.0,top
C34,264.033,-166.116,180.0,top
C35,220.218,-148.59,90.0,top
C36,266.7,-148.717,90.0,top
C5,451.063,-149.125,90.0,top
C6,459.191,-149.153,90.0,top
C8,400.063,-149.125,90.0,top
C9,408.191,-149.153,90.0,top
D141,428.986,-164.3425,180.0,top
D142,432.586,-164.3425,180.0,top
D143,436.186,-164.3425,180.0,top
D144,439.786,-164.3425,180.0,top
D145,443.386,-164.3425,180.0,top
D146,446.986,-164.3425,180.0,top
D147,450.586,-164.3425,180.0,top
D148,454.186,-164.3425,180.0,top
D149,351.599,-164.2895,180.0,top
D150,355.199,-164.2895,180.0,top
D151,358.799,-164.2895,180.0,top
D152,362.399,-164.2895,180.0,top
D153,365.999,-164.2895,180.0,top
D154,369.599,-164.2895,180.0,top
D155,373.199,-164.2895,180.0,top
D156,376.799,-164.2895,180.0,top
D157,390.291,-164.338,180.0,top
D158,393.891,-164.338,180.0,top
D159,397.491,-164.338,180.0,top
D160,401.091,-164.338,180.0,top
D161,404.691,-164.338,180.0,top
D162,408.291,-164.338,180.0,top
D163,411.891,-164.338,180.0,top
D164,415.491,-164.338,180.0,top
D165,189.395,-164.2285,180.0,top
D166,192.995,-164.2285,180.0,top
D167,196.595,-164.2285,180.0,top
D168,200.195,-164.2285,180.0,top
D169,203.795,-164.2285,180.0,top
D170,207.395,-164.2285,180.0,top
D171,210.995,-164.2285,180.0,top
D172,214.595,-164.2285,180.0,top
D173,121.901,-164.142484,180.0,top
D174,125.501,-164.142484,180.0,top
D175,129.101,-164.142484,180.0,top
D176,132.701,-164.142484,180.0,top
D177,136.301,-164.142484,180.0,top
D178,139.901,-164.142484,180.0,top
D179,143.501,-164.142484,180.0,top
D180,147.101,-164.142484,180.0,top
D181,150.701,-164.142484,180.0,top
D182,154.301,-164.142484,180.0,top
D183,157.901,-164.142484,180.0,top
D184,161.501,-164.142484,180.0,top
D185,165.101,-164.142484,180.0,top
D186,168.701,-164.142484,180.0,top
D187,172.301,-164.142484,180.0,top
D188,175.901,-164.142484,180.0,top
D189,268.665,-164.2285,180.0,top
D190,272.265,-164.2285,180.0,top
D191,275.865,-164.2285,180.0,top
D192,289.299,-164.1545,180.0,top
D193,292.899,-164.1545,180.0,top
D194,296.499,-164.1545,180.0,top
D195,309.997,-164.22,180.0,top
D196,313.597,-164.22,180.0,top
D197,317.197,-164.22,180.0,top
D198,339.18125,-165.454,90.0,top
D199,339.18125,-169.054,90.0,top
D200,339.18125,-172.654,90.0,top
D201,339.18125,-176.254,90.0,top
D202,339.09,-179.959,90.0,top
Q109,428.986,-168.7875,270.0,top
Q110,428.986,-172.8515,90.0,top
Q111,432.586,-168.7875,270.0,top
Q112,432.586,-172.8515,90.0,top
Q113,436.186,-168.7875,270.0,top
Q114,436.186,-172.8515,90.0,top
Q115,439.786,-168.7875,270.0,top
Q116,439.786,-172.8515,90.0,top
Q117,443.386,-168.7875,270.0,top
Q118,443.386,-172.8515,90.0,top
Q119,446.986,-168.7875,270.0,top
Q120,446.986,-172.8515,90.0,top
Q121,450.586,-168.7875,270.0,top
Q122,450.586,-172.8515,90.0,top
Q123,454.186,-168.7875,270.0,top
Q124,454.186,-172.8515,90.0,top
Q125,351.599,-168.7345,270.0,top
Q126,351.599,-172.7985,90.0,top
Q127,355.199,-168.7345,270.0,top
Q128,355.199,-172.7985,90.0,top
Q129,358.799,-168.7345,270.0,top
Q130,358.799,-172.7985,90.0,top
Q131,362.399,-168.7345,270.0,top
Q132,362.399,-172.7985,90.0,top
Q133,365.999,-168.7345,270.0,top
Q134,365.999,-172.7985,90.0,top
Q135,369.599,-168.7345,270.0,top
Q136,369.599,-172.7985,90.0,top
Q137,373.199,-168.7345,270.0,top
Q138,373.199,-172.7985,90.0,top
Q139,376.799,-168.7345,270.0,top
Q140,376.799,-172.7985,90.0,top
Q141,390.291,-168.783,270.0,top
Q142,390.291,-172.847,90.0,top
Q143,393.891,-168.783,270.0,top
Q144,393.891,-172.847,90.0,top
Q145,397.491,-168.783,270.0,top
Q146,397.491,-172.847,90.0,top
Q147,401.091,-168.783,270.0,top
Q148,401.091,-172.847,90.0,top
Q149,404.691,-168.783,270.0,top
Q150,404.691,-172.847,90.0,top
Q151,408.291,-168.783,270.0,top
Q152,408.291,-172.847,90.0,top
Q153,411.891,-168.783,270.0,top
Q154,411.891,-172.847,90.0,top
Q155,415.491,-168.783,270.0,top
Q156,415.491,-172.847,90.0,top
Q157,189.395,-168.6735,270.0,top
Q158,189.395,-172.7375,90.0,top
Q159,192.995,-168.6735,270.0,top
Q160,192.995,-172.7375,90.0,top
Q161,196.595,-168.6735,270.0,top
Q162,196.595,-172.7375,90.0,top
Q163,200.195,-168.6735,270.0,top
Q164,200.195,-172.7375,90.0,top
Q165,203.795,-168.6735,270.0,top
Q166,203.795,-172.7375,90.0,top
Q167,207.395,-168.6735,270.0,top
Q168,207.395,-172.7375,90.0,top
Q169,210.995,-168.6735,270.0,top
Q170,210.995,-172.7375,90.0,top
Q171,214.595,-168.6735,270.0,top
Q172,214.595,-172.7375,90.0,top
Q173,121.901,-168.665984,270.0,top
Q174,121.9005,-172.756484,90.0,top
Q175,125.501,-168.665984,270.0,top
Q176,125.5005,-172.756484,90.0,top
Q177,129.101,-168.665984,270.0,top
Q178,129.1005,-172.756484,90.0,top
Q179,132.701,-168.665984,270.0,top
Q180,132.7005,-172.756484,90.0,top
Q181,136.301,-168.665984,270.0,top
Q182,136.3005,-172.756484,90.0,top
Q183,139.901,-168.665984,270.0,top
Q184,139.9005,-172.756484,90.0,top
Q185,143.501,-168.665984,270.0,top
Q186,143.5005,-172.756484,90.0,top
Q187,147.101,-168.665984,270.0,top
Q188,147.1005,-172.756484,90.0,top
Q189,150.701,-168.665984,270.0,top
Q190,150.7005,-172.756484,90.0,top
Q191,154.301,-168.665984,270.0,top
Q192,154.3005,-172.756484,90.0,top
Q193,157.901,-168.665984,270.0,top
Q194,157.9005,-172.756484,90.0,top
Q195,161.501,-168.665984,270.0,top
Q196,161.5005,-172.756484,90.0,top
Q197,165.101,-168.665984,270.0,top
Q198,165.1005,-172.756484,90.0,top
Q199,168.701,-168.665984,270.0,top
Q200,168.7005,-172.756484,90.0,top
Q201,172.301,-168.665984,270.0,top
Q202,172.3005,-172.756484,90.0,top
Q203,175.901,-168.665984,270.0,top
Q204,175.9005,-172.756484,90.0,top
Q205,268.642,-168.6735,270.0,top
Q206,268.642,-172.7375,90.0,top
Q207,272.242,-168.6735,270.0,top
Q208,272.242,-172.7375,90.0,top
Q209,275.842,-168.6735,270.0,top
Q210,275.842,-172.7375,90.0,top
Q211,289.299,-168.5995,270.0,top
Q212,289.301,-172.7045,90.0,top
Q213,292.899,-168.5995,270.0,top
Q214,292.901,-172.7045,90.0,top
Q215,296.499,-168.5995,270.0,top
Q216,296.501,-172.7045,90.0,top
Q217,309.997,-168.665,270.0,top
Q218,309.997,-172.729,90.0,top
Q219,313.597,-168.665,270.0,top
Q220,313.597,-172.729,90.0,top
Q221,317.197,-168.665,270.0,top
Q222,317.197,-172.729,90.0,top
Q223,334.73625,-165.454,180.0,top
Q224,330.67225,-165.454,0.0,top
Q225,334.73625,-169.054,180.0,top
Q226,330.67225,-169.054,0.0,top
Q227,334.73625,-172.654,180.0,top
Q228,330.67225,-172.654,0.0,top
Q229,334.73625,-176.254,180.0,top
Q230,330.67225,-176.254,0.0,top
R1,264.033,-165.1,180.0,top
R10,298.063,-144.708,270.0,top
R11,255.191,-144.708,270.0,top
R12,247.063,-144.708,270.0,top
R122,428.986,-165.8665,90.0,top
R123,432.586,-165.8665,90.0,top
R124,436.186,-165.8665,90.0,top
R125,439.786,-165.8665,90.0,top
R126,443.386,-165.8665,90.0,top
R127,446.986,-165.8665,90.0,top
R128,450.586,-165.8665,90.0,top
R129,454.186,-165.8665,90.0,top
R13,204.191,-144.708,270.0,top
R130,351.599,-165.8135,90.0,top
R131,355.199,-165.8135,90.0,top
R132,358.799,-165.8135,90.0,top
R133,362.399,-165.8135,90.0,top
R134,365.999,-165.8135,90.0,top
R135,369.599,-165.8135,90.0,top
R136,373.199,-165.8135,90.0,top
R137,376.799,-165.8135,90.0,top
R138,390.291,-165.862,90.0,top
R139,393.891,-165.862,90.0,top
R14,196.063,-144.708,270.0,top
R140,397.491,-165.862,90.0,top
R141,401.091,-165.862,90.0,top
R142,404.691,-165.862,90.0,top
R143,408.291,-165.862,90.0,top
R144,411.891,-165.862,90.0,top
R145,415.491,-165.862,90.0,top
R146,189.395,-165.7525,90.0,top
R147,192.995,-165.7525,90.0,top
R148,196.595,-165.7525,90.0,top
R149,200.195,-165.7525,90.0,top
R15,153.191,-144.708,270.0,top
R150,203.795,-165.7525,90.0,top
R151,207.395,-165.7525,90.0,top
R152,210.995,-165.7525,90.0,top
R153,214.595,-165.7525,90.0,top
R154,121.901,-165.668484,90.0,top
R155,125.501,-165.668484,90.0,top
R156,129.101,-165.668484,90.0,top
R157,132.701,-165.668484,90.0,top
R158,136.301,-165.668484,90.0,top
R159,139.901,-165.668484,90.0,top
R16,145.063,-144.708,270.0,top
R160,143.501,-165.668484,90.0,top
R161,147.101,-165.668484,90.0,top
R162,150.701,-165.668484,90.0,top
R163,154.301,-165.668484,90.0,top
R164,157.901,-165.668484,90.0,top
R165,430.002,-165.8665,90.0,top
R166,433.602,-165.8665,90.0,top
R167,437.202,-165.8665,90.0,top
R168,440.802,-165.8665,90.0,top
R169,444.402,-165.8665,90.0,top
R170,448.002,-165.8665,90.0,top
R171,451.602,-165.8665,90.0,top
R172,455.202,-165.8665,90.0,top
R173,352.615,-165.8135,90.0,top
R174,356.215,-165.8135,90.0,top
R175,359.815,-165.8135,90.0,top
R176,363.415,-165.8135,90.0,top
R177,367.015,-165.8135,90.0,top
R178,370.615,-165.8135,90.0,top
R179,374.215,-165.8135,90.0,top
R180,377.815,-165.8135,90.0,top
R181,391.307,-165.862,90.0,top
R182,394.907,-165.862,90.0,top
R183,398.507,-165.862,90.0,top
R184,402.107,-165.862,90.0,top
R185,405.707,-165.862,90.0,top
R186,409.307,-165.862,90.0,top
R187,412.907,-165.862,90.0,top
R188,416.507,-165.862,90.0,top
R189,190.411,-165.7525,90.0,top
R190,194.011,-165.7525,90.0,top
R191,197.611,-165.7525,90.0,top
R192,201.211,-165.7525,90.0,top
R193,204.811,-165.7525,90.0,top
R194,208.411,-165.7525,90.0,top
R195,212.011,-165.7525,90.0,top
R196,215.611,-165.7525,90.0,top
R197,122.917,-165.666484,90.0,top
R198,126.517,-165.666484,90.0,top
R199,130.117,-165.666484,90.0,top
R2,255.27,-165.1,180.0,top
R200,133.717,-165.666484,90.0,top
R201,137.317,-165.666484,90.0,top
R202,140.917,-165.666484,90.0,top
R203,144.517,-165.666484,90.0,top
R204,148.117,-165.666484,90.0,top
R205,151.717,-165.666484,90.0,top
R206,155.317,-165.666484,90.0,top
R207,158.917,-165.666484,90.0,top
R208,161.501,-165.668484,90.0,top
R209,162.517,-165.666484,90.0,top
R21,427.97,-165.8665,90.0,top
R210,165.101,-165.668484,90.0,top
R211,166.117,-165.666484,90.0,top
R212,168.701,-165.668484,90.0,top
R213,169.717,-165.666484,90.0,top
R214,172.301,-165.668484,90.0,top
R215,173.317,-165.666484,90.0,top
R216,175.901,-165.668484,90.0,top
R217,176.917,-165.666484,90.0,top
R218,268.642,-165.7525,90.0,top
R219,269.658,-165.7525,90.0,top
R22,431.57,-165.8665,90.0,top
R220,272.242,-165.7525,90.0,top
R221,273.258,-165.7525,90.0,top
R222,275.842,-165.7525,90.0,top
R223,276.858,-165.7525,90.0,top
R224,289.299,-165.6785,90.0,top
R225,290.315,-165.6785,90.0,top
R226,292.899,-165.6785,90.0,top
R227,293.915,-165.6785,90.0,top
R228,296.499,-165.6785,90.0,top
R229,297.515,-165.6785,90.0,top
R23,435.17,-165.8665,90.0,top
R230,309.997,-165.744,90.0,top
R231,311.013,-165.746,90.0,top
R232,313.597,-165.744,90.0,top
R233,314.613,-165.746,90.0,top
R234,317.197,-165.744,90.0,top
R235,318.213,-165.746,90.0,top
R236,337.65725,-165.454,0.0,top
R237,337.65725,-166.47,0.0,top
R238,337.65725,-169.054,0.0,top
R239,337.65725,-170.07,0.0,top
R24,438.77,-165.8665,90.0,top
R240,337.65725,-172.654,0.0,top
R241,337.65725,-173.67,0.0,top
R242,337.65725,-176.254,0.0,top
